iata,name,country,latitude,longitude
FNA,Lungi International Airport,SL,8.616440,-13.195500
FNC,Cristiano Ronaldo International Airport,PT,32.697812,-16.774613
FND,Funadhoo Airport,MV,6.162443,73.287520
FNI,Nîmes-Arles-Camargue Airport,FR,43.757401,4.416350
FNJ,Pyongyang Sunan International Airport,KP,39.224098,125.669998
FNR,Funter Bay Seaplane Base,US,58.254398,-134.897995
FNT,Bishop International Airport,US,42.969294,-83.743355
FOA,Foula Airfield,GB,60.121916,-2.053439
FOC,Fuzhou Changle International Airport,CN,25.929254,119.672524
FOD,Fort Dodge Regional Airport,US,42.552624,-94.191237
FOG,Foggia Gino Lisa Airport,IT,41.433596,15.534566
FON,La Fortuna Arenal Airport,CR,10.469311,-84.579073
FOR,Pinto Martins International Airport,BR,-3.775833,-38.532222
FPO,Grand Bahama International Airport,BS,26.557996,-78.695583
FRA,Frankfurt Main Airport,DE,50.026706,8.558350
FRD,Friday Harbor Airport,US,48.523654,-123.024645
FRE,Fera/Maringe Airport,SB,-8.107500,159.576996
FRL,Forlì-Luigi Ridolfi International Airport,IT,44.194801,12.070100
FRO,Florø Airport,NO,61.583599,5.024720
FRS,Mundo Maya International Airport,GT,16.913707,-89.866143
FRW,Phillip Gaonwe Matante International Airport,BW,-21.159183,27.468826
FSC,Figari Sud-Corse Airport,FR,41.501850,9.097092
FSD,Sioux Falls Regional Airport,US,43.585463,-96.741152
FSH,Syekh Hamzah Fansyuri Airport,ID,2.269614,97.967863
FSM,Fort Smith Regional Airport,US,35.336601,-94.367401
FSP,Saint-Pierre Pointe-Blanche Airport,PM,46.762651,-56.174990
FSZ,Mount Fuji Shizuoka Airport,JP,34.795022,138.190976
FTA,Futuna Airport,VU,-19.516399,170.231995
FTE,El Calafate - Commander Armando Tola International Airport,AR,-50.280267,-72.053401
FTI,Fitiuta Airport,AS,-14.216131,-169.423771
FTU,Tôlanaro Airport,MG,-25.038099,46.956100
FTW,Fort Worth Meacham International Airport,US,32.819919,-97.360818
FUE,Fuerteventura Airport,ES,28.452700,-13.863800
FUG,Fuyang Xiguan Airport,CN,32.882157,115.734364
FUJ,Fukue Airport,JP,32.666302,128.832993
FUK,Fukuoka Airport,JP,33.585899,130.451004
FUN,Funafuti International Airport,TV,-8.523885,179.196976
FUO,Foshan Shadi Airport,CN,23.082500,113.070833
FUT,Pointe Vele Airport,WF,-14.311565,-178.066492
FWA,Fort Wayne International Airport,US,40.978896,-85.194465
FYJ,Fuyuan Dongji Airport,CN,48.197219,134.362980
FYN,Fuyun Koktokay Airport,CN,46.804169,89.512006
FYU,Fort Yukon Airport,US,66.571651,-145.249987
GAJ,Yamagata Airport,JP,38.411900,140.371002
GAL,Edward G. Pitka Sr Airport,US,64.736198,-156.936997
GAM,Gambell Airport,US,63.767694,-171.733303
GAN,Gan International Airport,MV,-0.692975,73.152627
GAQ,Gao International Airport,ML,16.248466,-0.005389
GAU,Lokpriya Gopinath Bordoloi International Airport,IN,26.106654,91.585226
GAX,Gamba Airport,GA,-2.785278,10.047222
GAY,Gaya Airport,IN,24.744301,84.951202
GBB,Gabala International Airport,AZ,40.808617,47.725389
GBE,Sir Seretse Khama International Airport,BW,-24.555201,25.918200
GBI,Kalaburagi Airport,IN,17.308154,76.965246
GBJ,Marie-Galante Airport,GP,15.868925,-61.270087
GBZ,Great Barrier Aerodrome,NZ,-36.241402,175.472000
GCC,Northeast Wyoming Regional Airport,US,44.348900,-105.539001
GCH,Gachsaran Airport,IR,30.333869,50.833796
GCI,Guernsey Airport,GG,49.435001,-2.601970
GCK,Garden City Regional Airport,US,37.927502,-100.723999
GCM,Owen Roberts International Airport,KY,19.292801,-81.357697
GCN,Grand Canyon National Park Airport,US,35.952400,-112.147003
GDB,Gondia Airport,IN,21.526817,80.290347
GDE,Gode Airport,ET,5.935130,43.578602
GDL,Guadalajara International Airport,MX,20.523342,-103.310108
GDN,Gdańsk Lech Wałęsa Airport,PL,54.377602,18.466200
GDQ,Gondar Airport,ET,12.519900,37.433998
GDT,JAGS McCartney International Airport,TC,21.444500,-71.142303
GDV,Dawson Community Airport,US,47.137658,-104.806910
GDX,Sokol Airport,RU,59.910999,150.720001
GDZ,Gelendzhik Airport,RU,44.582093,38.012481
GEA,Nouméa Magenta Airport,NC,-22.257706,166.472822
GEG,Spokane International Airport,US,47.619900,-117.533997
GEL,Santo Ângelo Airport,BR,-28.282503,-54.169623
GEM,President Obiang Nguema International Airport,GQ,1.676437,11.024904
GEO,Cheddi Jagan International Airport,GY,6.498550,-58.254101
GER,Rafael Cabrera Airport,CU,21.834700,-82.783798
GES,General Santos International Airport,PH,6.057208,125.096243
GET,Geraldton Airport,AU,-28.796101,114.707001
GEV,Gällivare Airport,SE,67.132401,20.814600
GFF,Griffith Airport,AU,-34.250801,146.067001
GFK,Grand Forks International Airport,US,47.949299,-97.176102
GGF,Almeirim Airport,BR,-1.479524,-52.578214
GGG,East Texas Regional Airport,US,32.383999,-94.711502
GGJ,Guaíra Airport,BR,-24.081100,-54.191700
GGR,Garowe Airport,SO,8.458474,48.568136
GGS,Gobernador Gregores Airport,AR,-48.783100,-70.150002
GGT,Exuma International Airport,BS,23.562599,-75.877998
GGW,Glasgow Valley County Airport Wokal Field,US,48.212502,-106.614998
GHA,Noumérat - Moufdi Zakaria Airport,DZ,32.384102,3.794110
GHB,Governor's Harbour Airport,BS,25.284700,-76.331001
GHV,Brașov-Ghimbav International Airport,RO,45.705580,25.522871
GIB,Gibraltar Airport,GI,36.151679,-5.349780
GIC,Boigu Island Airport,AU,-9.232780,142.218002
GID,Gitega Airport,BI,-3.417209,29.911308
GIG,Rio de Janeiro Galeão – Tom Jobim International Airport,BR,-22.809999,-43.250557
GIL,Gilgit Airport,PK,35.918800,74.333603
GIS,Gisborne Airport,NZ,-38.663300,177.977997
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,SA,16.901100,42.585800
GJA,La Laguna Airport,HN,16.445400,-85.906601
GJL,Jijel Ferhat Abbas Airport,DZ,36.794125,5.873652
GJT,Grand Junction Regional Airport,US,39.126663,-108.529387
GKA,Goroka Airport,PG,-6.081690,145.391998
GKK,Kooddoo Airport,MV,0.732400,73.433600
GKN,Gulkana Airport,US,62.155859,-145.454662
GLA,Glasgow Airport,GB,55.871899,-4.433060
GLF,Golfito Airport,CR,8.654010,-83.182198
GLH,Mid Delta Regional Airport,US,33.482899,-90.985603
GLK,Galcaio Airport,SO,6.780830,47.454700
GLT,Gladstone Airport,AU,-23.869763,151.225439
GLV,Golovin Airport,US,64.550499,-163.007004
GMA,Gemena Airport,CD,3.235370,19.771299
GMB,Gambela Airport,ET,8.128760,34.563099
GME,Gomel Airport,BY,52.527000,31.016701
GMI,Gasmata Island Airport,PG,-6.271110,150.330994
GMO,Gombe Lawanti International Airport,NG,10.298889,10.900000
GMP,Seoul Gimpo International Airport,KR,37.558300,126.791000
GMQ,Golog Maqên Airport,CN,34.418066,100.301144
GMR,Totegegie Airport,PF,-23.079901,-134.889999
GMZ,La Gomera Airport,ES,28.029600,-17.214600
GNB,Grenoble Alpes Isère Airport,FR,45.362900,5.329370
GND,Maurice Bishop International Airport,GD,12.003996,-61.785302
GNJ,Ganja International Airport,AZ,40.738692,46.320383
GNS,Binaka Airport,ID,1.166275,97.705196
GNU,Goodnews Airport,US,59.117561,-161.575241
GNV,Gainesville Regional Airport,US,29.690100,-82.271797
GNY,Şanlıurfa GAP Airport,TR,37.445663,38.895592
GOA,Genoa Cristoforo Colombo Airport,IT,44.412039,8.840732
GOH,Nuuk International Airport,GL,64.191066,-51.679140
GOI,Goa Dabolim International Airport,IN,15.380062,73.833328
GOJ,Nizhny Novgorod / Strigino International Airport,RU,56.227351,43.785152
GOM,Goma International Airport,CD,-1.666758,29.238037
GOP,Gorakhpur Airport,IN,26.739700,83.449699
GOQ,Golmud Airport,CN,36.400600,94.786102
GOT,Göteborg Landvetter Airport,SE,57.662800,12.279800
GOU,Garoua International Airport,CM,9.334785,13.372129
GOV,Gove Airport,AU,-12.269400,136.817993
GOX,Manohar International Airport,IN,15.744257,73.860625
GOY,Tura Mountain Airport,RU,64.333511,100.432892
GPA,Patras Araxos Agamemnon Airport,GR,38.151100,21.425600
GPI,Guapi Airport,CO,2.570130,-77.897969
GPS,Seymour Galapagos Ecological Airport,EC,-0.453758,-90.265900
GPT,Gulfport Biloxi International Airport,US,30.405582,-89.069836
GRB,Austin Straubel International Airport,US,44.483459,-88.130805
GRI,Central Nebraska Regional Airport,US,40.967499,-98.309601
GRJ,George Airport,ZA,-34.005600,22.378902
GRK,Killeen Regional Airport / Robert Gray Army Airfield,US,31.067200,-97.828903
GRO,Girona-Costa Brava Airport,ES,41.904639,2.761774
GRQ,Groningen Airport Eelde,NL,53.119107,6.577652
GRR,Gerald R. Ford International Airport,US,42.880798,-85.522797
GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,BR,-23.431274,-46.469954
GRV,Akhmat Kadyrov Grozny International Airport,RU,43.388106,45.699772
GRW,Graciosa Airport,PT,39.092201,-28.029800
GRX,F.G.L. Airport Granada-Jaén Airport,ES,37.188702,-3.777360
GRY,Grímsey Airport,IS,66.545800,-18.017300
GRZ,Graz Airport,AT,46.991100,15.439600
GSM,Qeshm International Airport,IR,26.754639,55.902353
GSO,Piedmont Triad International Airport,US,36.099370,-79.937262
GSP,Greenville-Spartanburg International Airport,US,34.895699,-82.218903
GST,Gustavus Airport,US,58.425301,-135.707001
GSV,Gagarin International Airport,RU,51.712778,46.171111
GTA,Gatokae Aerodrome,SB,-8.738358,158.202836
GTE,Groote Eylandt Airport,AU,-13.972405,136.458553
GTF,Great Falls International Airport,US,47.481998,-111.371002
GTO,Jalaluddin Airport,ID,0.637119,122.849998
GTR,Golden Triangle Regional Airport,US,33.450298,-88.591400
GUA,La Aurora International Airport,GT,14.582896,-90.527515
GUB,Guerrero Negro Airport,MX,28.026100,-114.024002
GUC,Gunnison Crested Butte Regional Airport,US,38.534672,-106.934566
GUM,Antonio B. Won Pat International Airport,GU,13.485000,144.797282
GUP,Gallup Municipal Airport,US,35.511653,-108.788166
GUR,Gurney Airport,PG,-10.311500,150.334000
GUW,Atyrau International Airport,KZ,47.121318,51.820343
GUZ,Guarapari Airport,BR,-20.646500,-40.491901
GVA,Geneva International Airport,CH,46.238098,6.108950
GVR,Coronel Altino Machado Airport,BR,-18.895882,-41.982869
GWD,New Gwadar International Airport,PK,25.296733,62.498822
GWL,Gwalior Airport,IN,26.293301,78.227798
GWT,Westerland Sylt Airport,DE,54.913200,8.340470
GXF,Seiyun Hadhramaut International Airport,YE,15.965887,48.788146
GXG,Negage Airport,AO,-7.754510,15.287700
GXH,Gannan Xiahe Airport,CN,34.819014,102.622261
GYA,Guayaramerín Airport,BO,-10.888560,-65.380955
GYD,Heydar Aliyev International Airport,AZ,40.472780,50.050931
GYE,José Joaquín de Olmedo International Airport,EC,-2.157420,-79.883598
GYM,General José María Yáñez International Airport,MX,27.969000,-110.925003
GYN,Santa Genoveva International Airport,BR,-16.632000,-49.220699
GYS,Guangyuan Panlong Airport,CN,32.390254,105.694571
GYU,Guyuan Liupanshan Airport,CN,36.078889,106.216944
GYY,Gary/Chicago International Airport,US,41.617087,-87.413206
GYZ,Gruyere Airport,AU,-28.034548,123.815060
GZG,Garze Gesar Airport,CN,31.757500,99.554167
GZM,Xewkija Heliport,MT,36.027199,14.272800
GZO,Nusatupe Airport,SB,-8.097780,156.863998
GZP,Gazipaşa-Alanya Airport,TR,36.298832,32.297017
GZT,Gaziantep Oğuzeli International Airport,TR,36.947201,37.478699
HAA,Hasvik Airport,NO,70.486702,22.139700
HAC,Hachijojima Airport,JP,33.114843,139.785645
HAD,Halmstad Airport,SE,56.691101,12.820200
HAH,Prince Said Ibrahim International Airport,KM,-11.533700,43.271900
HAJ,Hannover Airport,DE,52.461102,9.685080
HAK,Haikou Meilan International Airport,CN,19.934900,110.459000
HAL,Halali Airport,NA,-19.028500,16.458500
HAM,Hamburg Helmut Schmidt Airport,DE,53.630402,9.988230
HAN,Noi Bai International Airport,VN,21.221201,105.806999
HAQ,Hanimaadhoo International Airport,MV,6.743235,73.167072
HAS,Hail International Airport,SA,27.437901,41.686298
HAU,"Haugesund Airport, Karmøy",NO,59.345299,5.208360
HAV,José Martí International Airport,CU,22.989201,-82.409103
HBA,Hobart International Airport,AU,-42.837032,147.513022
HBE,Alexandria International Airport,EG,30.932490,29.696437
HBQ,Haibei Qilian Airport,CN,38.008068,100.645065
HBT,Hambantota Seaplane Base,LK,6.124043,81.103000
HBX,Hubballi Airport,IN,15.361084,75.082096
HCJ,Hechi Jinchengjiang Airport,CN,24.804344,107.710819
HCR,Holy Cross Airport,US,62.188301,-159.774994
HCZ,Chenzhou Beihu Airport,CN,25.753419,112.845404
HDD,Hyderabad Airport,PK,25.318100,68.366096
HDF,Heringsdorf Airport,DE,53.878700,14.152300
HDG,Handan Airport,CN,36.524824,114.424126
HDK,Kulhudhuffushi Airport,MV,6.630762,73.067815
HDM,Hamadan Airport,IR,34.866416,48.560690
HDN,Yampa Valley Airport,US,40.481201,-107.218002
HDO,Hindon Airport / Hindon Air Force Station,IN,28.707701,77.358902
HDS,Eastgate Airport / Air Force Base Hoedspruit,ZA,-24.361864,31.052921
HDY,Hat Yai International Airport,TH,6.933210,100.392998
HEA,Herat - Khwaja Abdullah Ansari International Airport,AF,34.209999,62.228298
HEH,Heho Airport,MM,20.747140,96.792029
HEI,Heide-Büsum Airport,DE,54.153332,8.901667
HEK,Heihe Aihui Airport,CN,50.171621,127.308884
HEL,Helsinki Vantaa Airport,FI,60.318363,24.963341
HER,Heraklion International Nikos Kazantzakis Airport,GR,35.339699,25.180300
HET,Hohhot Baita International Airport,CN,40.849658,111.824598
HFA,Uri Michaeli Haifa International Airport,IL,32.810219,35.043719
HFE,Hefei Xinqiao International Airport,CN,31.987790,116.976900
HFN,Hornafjörður Airport,IS,64.295601,-15.227200
HFS,Hagfors Airport,SE,60.020100,13.578900
HFT,Hammerfest Airport,NO,70.679703,23.668600
HGA,Egal International Airport,SO,9.514082,44.083469
HGD,Hughenden Airport,AU,-20.815001,144.225006
HGH,Hangzhou Xiaoshan International Airport,CN,30.236090,120.428865
HGI,Itanagar Donyi Polo Hollongi Airport,IN,26.966830,93.638792
HGL,Helgoland-Düne Airport,DE,54.185280,7.915833
HGN,Mae Hong Son Airport,TH,19.301300,97.975800
HGO,Korhogo Airport,CI,9.387180,-5.556660
HGR,Hagerstown Regional Richard A Henson Field,US,39.708771,-77.728014
HGU,Mount Hagen Kagamuga Airport,PG,-5.828212,144.299412
HHH,Hilton Head Airport,US,32.224400,-80.697502
HHN,Frankfurt-Hahn Airport,DE,49.946353,7.261734
HHP,Shun Tak Heliport,HK,22.288868,114.152369
HHQ,Hua Hin Airport,TH,12.636200,99.951500
HHR,Jack Northrop Field Hawthorne Municipal Airport,US,33.922798,-118.334999
HHZ,Hikueru Airport,PF,-17.548297,-142.612037
HIA,Huai'an Lianshui Airport,CN,33.792712,119.126657
HIB,Range Regional Airport,US,47.384831,-92.836905
HID,Horn Island Airport,AU,-10.585636,142.292770
HII,Lake Havasu City Airport,US,34.570506,-114.357745
HIJ,Hiroshima Airport,JP,34.436100,132.919006
HIL,Shilavo Airport,ET,6.077545,44.763736
HIN,Sacheon Airport / Sacheon Air Base,KR,35.088591,128.071747
HIR,Honiara International Airport,SB,-9.428000,160.054993
HIS,Hayman Island Resort Seaplane Base,AU,-20.059999,148.880997
HJB,Hejing Bayinbuluke Airport,CN,42.976395,83.995543
HJJ,Huaihua Zhijiang Airport,CN,27.443087,109.704666
HJR,Khajuraho Airport,IN,24.817200,79.918602
HKD,Hakodate Airport,JP,41.770000,140.822006
HKG,Hong Kong International Airport,HK,22.311840,113.914862
HKK,Hokitika Airfield,NZ,-42.713600,170.985001
HKN,Hoskins Airport,PG,-5.463846,150.407327
HKT,Phuket International Airport,TH,8.113257,98.317400
HLA,Lanseria International Airport,ZA,-25.938964,27.926642
HLD,Hulunbuir Hailar Airport,CN,49.208616,119.822301
HLE,Saint Helena International Airport,SH,-15.958898,-5.646066
HLH,Ulanhot Yilelite Airport,CN,46.195333,122.008333
HLN,Helena Regional Airport,US,46.606800,-111.983002
HLP,Halim Perdanakusuma International Airport,ID,-6.266989,106.890318
HLZ,Hamilton International Airport,NZ,-37.866961,175.331952
HMA,Khanty Mansiysk Airport,RU,61.028500,69.086098
HMB,Suhaj International Airport,EG,26.342515,31.743017
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,DZ,31.673000,6.140440
HMI,Hami Airport,CN,42.841400,93.669197
HMO,General Ignacio L. Pesqueira International Airport,MX,29.092811,-111.053015
HMS,Haji Muhammad Sidik Airport,ID,-1.025810,114.928810
HMV,Hemavan Airport,SE,65.806099,15.082800
HNA,Iwate Hanamaki Airport,JP,39.428600,141.134995
HND,Tokyo Haneda International Airport,JP,35.549678,139.786958
HNH,Hoonah Airport,US,58.096100,-135.410111
HNL,Daniel K. Inouye International Airport,US,21.318387,-157.925670
HNM,Hana Airport,US,20.795601,-156.014008
HNS,Haines Airport,US,59.243921,-135.523925
HNY,Hengyang Nanyue Airport,CN,26.722080,112.617958
HOB,Lea County Regional Airport,US,32.687500,-103.217003
HOF,Al-Ahsa International Airport,SA,25.285299,49.485199
HOG,Frank Pais International Airport,CU,20.785148,-76.315526
HOI,Hao Airport,PF,-18.074800,-140.945999
HOK,Hooker Creek Airport,AU,-18.336700,130.638000
HOM,Homer Airport,US,59.644456,-151.479235
HOR,Horta Airport,PT,38.519901,-28.715900
HOT,Memorial Field Airport,US,34.478800,-93.096262
HOU,William P. Hobby Airport,US,29.645336,-95.276812
HOV,"Ørsta-Volda Airport, Hovden",NO,62.180000,6.074100
HPA,Lifuka Island Airport,TO,-19.777000,-174.341003
HPB,Hooper Bay Airport,US,61.523899,-166.147003
HPG,Shennongjia Hongping Airport,CN,31.626000,110.340000
HPH,Cat Bi International Airport,VN,20.817428,106.724315
HPN,Westchester County Airport,US,41.067001,-73.707603
HQL,Tashikuergan Hongqilafu Airport,CN,37.661333,75.288877
HQQ,Anyang Hongqiqu Airport,CN,35.870833,114.461944
HRB,Harbin Taiping International Airport,CN,45.623402,126.250000
HRE,Robert Gabriel Mugabe International Airport,ZW,-17.931801,31.092800
HRF,Hoarafushi Airport,MV,6.969670,72.896287
HRG,Hurghada International Airport,EG,27.176776,33.796692
HRI,Mattala Rajapaksa International Airport,LK,6.283878,81.124163
HRL,Valley International Airport,US,26.228500,-97.654404
HRO,Boone County Airport,US,36.261501,-93.154701
HSA,Hazrat Sultan International Airport,KZ,43.311087,68.550352
HSC,Shaoguan Danxia Airport,CN,24.978600,113.420998
HSG,Kyushu Saga International Airport,JP,33.149700,130.302002
HSL,Huslia Airport,US,65.697899,-156.350998
HSN,Zhoushan Putuoshan International Airport,CN,29.933874,122.362307
HSR,Rajkot International Airport,IN,22.378824,71.039391
HSS,Maharaja Agrasen International Airport,IN,29.186065,75.741420
HSV,Huntsville International Airport,US,34.636244,-86.774378
HTA,Chita-Kadala International Airport,RU,52.024841,113.305839
HTG,Khatanga Airport,RU,71.978104,102.490997
HTI,Hamilton Island Airport,AU,-20.358101,148.951996
HTN,Hotan Airport,CN,37.038502,79.864899
HTS,Tri-State Airport / Milton J. Ferguson Field,US,38.366699,-82.557999
HTT,Huatugou Airport,CN,38.201645,90.837843
HTY,Hatay Airport,TR,36.360790,36.285589
HUE,Humera Airport,ET,13.830120,36.882370
HUG,Huehuetenango Airport,GT,15.316667,-91.505556
HUH,Huahine-Fare Airport,PF,-16.687084,-151.021593
HUI,Phu Bai International Airport,VN,16.400581,107.704094
HUN,Hualien Chiashan Airport,TW,24.023163,121.617991
HUO,Holingol Huolinhe Airport,CN,45.487222,119.407222
HUS,Hughes Airport,US,66.041100,-154.263001
HUU,Alferez Fap David Figueroa Fernandini Airport,PE,-9.878810,-76.204803
HUX,Bahías de Huatulco International Airport,MX,15.775437,-96.260456
HUY,Humberside Airport,GB,53.576152,-0.349540
HUZ,Huizhou Pingtan Airport,CN,23.049999,114.599998
HVB,Hervey Bay Airport,AU,-25.320127,152.880662
HVD,Khovd Airport,MN,47.954102,91.628197
HVG,"Honningsvåg Airport, Valan",NO,71.009697,25.983601
HVN,Tweed New Haven Airport,US,41.262869,-72.887694
HVR,Havre City County Airport,US,48.541387,-109.762859
HWR,Halwara International Airport,IN,30.748501,75.629799
HXD,Haixi Delingha Airport,CN,37.125286,97.268658
HYA,Cape Cod Gateway Airport,US,41.669300,-70.280403
HYD,Rajiv Gandhi International Airport,IN,17.231318,78.429855
HYG,Hydaburg Seaplane Base,US,55.205227,-132.830286
HYL,Hollis Clark Bay Seaplane Base,US,55.481529,-132.646008
HYN,Taizhou Luqiao Airport,CN,28.562201,121.429001
HYS,Hays Regional Airport,US,38.844521,-99.273148
HZA,Heze Mudan Airport,CN,35.212972,115.736748
HZG,Hanzhong Chenggu Airport,CN,33.133527,107.203817
HZH,Liping Airport,CN,26.322170,109.149900
IAA,Igarka Airport,RU,67.437202,86.621902
IAD,Washington Dulles International Airport,US,38.944500,-77.455803
IAG,Niagara Falls International Airport,US,43.107300,-78.946198
IAH,George Bush Intercontinental Airport,US,29.984400,-95.341400
IAM,Zarzaitine - In Aménas Airport,DZ,28.051500,9.642910
IAN,Bob Baker Memorial Airport,US,66.976128,-160.439014
IAO,Siargao Airport,PH,9.859100,126.014000
IAR,Golden Ring Yaroslavl International Airport,RU,57.560699,40.157398
IAS,Iaşi International Airport,RO,47.179633,27.621431
IBA,Ibadan Airport,NG,7.362460,3.978330
IBB,General Villamil Airport,EC,-0.942628,-90.953003
IBE,Perales Airport,CO,4.421610,-75.133300
IBR,Ibaraki Airport,JP,36.181456,140.414434
IBZ,Ibiza Airport,ES,38.872898,1.373120
ICC,Andrés Miguel Salazar Marcano Airport,VE,10.794432,-63.981590
ICI,Cicia Airport,FJ,-17.743299,-179.341995
ICN,Incheon International Airport,KR,37.469101,126.450996
ICT,Wichita Dwight D. Eisenhower National Airport,US,37.650314,-97.428583
IDA,Idaho Falls Regional Airport,US,43.514599,-112.070999
IDR,Devi Ahilya Bai Holkar International Airport,IN,22.721404,75.800510
IEG,Zielona Góra-Babimost Airport,PL,52.138500,15.798600
IFJ,Ísafjörður Airport,IS,66.058098,-23.135300
IFN,Isfahan Shahid Beheshti International Airport,IR,32.755142,51.883877
IGA,Inagua Airport,BS,20.975000,-73.666901
IGD,Iğdır Airport,TR,39.976627,43.876648
IGG,Igiugig Airport,US,59.324001,-155.901993
IGR,Cataratas Del Iguazú International Airport,AR,-25.737301,-54.473400
IGT,Magas Airport,RU,43.323268,45.012568
IGU,Cataratas International Airport,BR,-25.594167,-54.489444
IIA,Inishmaan Aerodrome,IE,53.092999,-9.568060
IJK,Izhevsk Airport,RU,56.834524,53.462172
IKA,Imam Khomeini International Airport,IR,35.416100,51.152199
IKE,Ikerasak Heliport,GL,70.498145,-51.303084
IKG,Karakol International Airport,KG,42.508099,78.407799
IKI,Iki Airport,JP,33.749001,129.785004
IKO,Nikolski Air Station,US,52.941552,-168.849478
IKS,Tiksi Airport,RU,71.697701,128.903000
IKT,Irkutsk International Airport,RU,52.266707,104.395563
IKU,Issyk-Kul International Airport,KG,42.585584,76.701181
ILD,Lleida-Alguaire Airport,ES,41.728185,0.535023
ILF,Ilford Airport,CA,56.051622,-95.618820
ILG,Wilmington Airport,US,39.678699,-75.606499
ILI,Iliamna Airport,US,59.754398,-154.910996
ILM,Wilmington International Airport,US,34.272345,-77.905117
ILO,Iloilo International Airport,PH,10.833017,122.493358
ILP,Île des Pins Airport,NC,-22.588900,167.455994
ILQ,General Jorge Fernandez Maldon Airport,PE,-17.695000,-71.344002
ILR,General Tunde Idiagbon International Airport,NG,8.440210,4.493920
ILS,Ilopango International Airport,SV,13.699500,-89.119904
ILY,Islay Airport,GB,55.682708,-6.257525
IMF,Bir Tikendrajit International Airport,IN,24.760000,93.896698
IMK,Simikot Airport,NP,29.971100,81.818901
IMP,Prefeito Renato Moreira Airport,BR,-5.531290,-47.459999
IMT,Ford Airport,US,45.819110,-88.114557
INB,Independence Airport,BZ,16.534560,-88.441615
INC,Yinchuan Hedong International Airport,CN,38.322758,106.393214
IND,Indianapolis International Airport,US,39.717300,-86.294403
INH,Inhambane Airport,MZ,-23.876400,35.408501
INI,Niš Constantine the Great Airport,RS,43.336538,21.856242
INL,Falls International Airport,US,48.566200,-93.403099
INN,Innsbruck Airport,AT,47.260201,11.344000
INO,Inongo Airport,CD,-1.947220,18.285801
INQ,Inisheer Aerodrome,IE,53.064701,-9.510900
INU,Nauru International Airport,NR,-0.547893,166.919525
INV,Inverness Airport,GB,57.542500,-4.047500
INZ,In Salah Airport,DZ,27.250999,2.512020
IOA,Ioannina King Pyrrhus National Airport,GR,39.696400,20.822500
IOM,Isle of Man Airport,IM,54.083081,-4.623871
IOQ,Isortoq Heliport,GL,65.547792,-38.976552
IOR,Inishmore Aerodrome,IE,53.106701,-9.653610
IOS,Bahia - Jorge Amado Airport,BR,-14.815929,-39.033458
IOT,Illorsuit Heliport,GL,71.241944,-53.562877
IPC,Mataveri International Airport,CL,-27.165411,-109.421027
IPH,Sultan Azlan Shah Airport,MY,4.567330,101.091643
IPI,San Luis Airport,CO,0.861946,-77.671783
IPL,Imperial County Airport,US,32.835390,-115.574026
IPN,Usiminas Airport,BR,-19.470699,-42.487598
IPT,Williamsport Regional Airport,US,41.242126,-76.922450
IQM,Qiemo Yudu Airport,CN,38.234516,85.465462
IQN,Qingyang Xifeng Airport,CN,35.802638,107.598896
IQQ,Diego Aracena International Airport,CL,-20.536273,-70.181373
IQT,Coronel FAP Francisco Secada Vignetta International Airport,PE,-3.784740,-73.308800
IRA,Ngorangora Airport,SB,-10.449700,161.897995
IRC,Circle City (New) Airport,US,65.827673,-144.076195
IRG,Lockhart River Airport,AU,-12.786900,143.304993
IRJ,Capitan V A Almonacid Airport,AR,-29.381599,-66.795799
IRK,Kirksville Regional Airport,US,40.093498,-92.544899
IRP,Matari Airport,CD,2.827610,27.588301
IRZ,Tapuruquara Airport,BR,-0.378604,-64.992558
ISA,Mount Isa Airport,AU,-20.666380,139.488468
ISB,Islamabad International Airport,PK,33.549000,72.825660
ISC,St. Mary's Airport,GB,49.913375,-6.291894
ISE,Süleyman Demirel International Airport,TR,37.855400,30.368401
ISG,New Ishigaki Airport,JP,24.396389,124.245000
ISK,Nashik International Airport,IN,20.119101,73.912903
ISP,Long Island MacArthur Airport,US,40.796324,-73.101703
IST,İstanbul Airport,TR,41.274874,28.732136
ISU,Jalal Talabani International Airport,IQ,35.560487,45.315137
ITB,Itaituba Airport,BR,-4.242131,-56.000651
ITH,Ithaca Tompkins Regional Airport,US,42.491001,-76.458397
ITM,Osaka Itami International Airport,JP,34.780853,135.440829
ITO,Hilo International Airport,US,19.721350,-155.045428
ITU,Iturup Airport,RU,45.256389,147.955490
IUE,Niue International Airport,NU,-19.080109,-169.923493
IUI,Innarsuit Heliport,GL,73.199895,-56.010817
IVC,Invercargill Airport,NZ,-46.412399,168.313004
IVL,Ivalo Airport,FI,68.607300,27.405300
IWA,Ivanovo South Airport,RU,56.939400,40.940800
IWD,Gogebic Iron County Airport,US,46.525298,-90.131578
IWJ,Iwami Airport,JP,34.676399,131.789993
IWK,Iwakuni Kintaikyo Airport,JP,34.146333,132.247238
IXA,Agartala - Maharaja Bir Bikram Airport,IN,23.886999,91.240402
IXB,Bagdogra Airport,IN,26.681200,88.328598
IXC,Shaheed Bhagat Singh International Airport,IN,30.673500,76.788498
IXD,Prayagraj Airport,IN,25.440100,81.733902
IXE,Mangaluru International Airport,IN,12.954710,74.886812
